Date,Close/Last,Volume,Open,High,Low
09/16/2020,0.81735,--,0.81148,0.82239,0.79094
09/15/2020,0.806009,--,0.814341,0.817021,0.797478
09/14/2020,0.803534,--,0.789785,0.809353,0.771666
9/11/2020,0.783887,--,0.775161,0.784962,0.765214
9/10/2020,0.778595,--,0.782091,0.791071,0.770291
9/09/2020,0.77021,--,0.762211,0.776926,0.744579
9/08/2020,0.740664,--,0.746051,0.774963,0.734134
9/04/2020,0.798212,--,0.794638,0.803373,0.74833
9/03/2020,0.810054,--,0.822697,0.874701,0.796391
9/02/2020,0.8697,--,0.872816,0.874855,0.852306
9/01/2020,0.923884,--,0.909843,0.926747,0.881411
08/31/2020,0.888079,--,0.892514,0.895271,0.877456
08/28/2020,0.862165,--,0.858745,0.868939,0.856314
08/27/2020,0.844113,--,0.853632,0.871273,0.831581
08/26/2020,0.863916,--,0.849322,0.869744,0.845263
08/25/2020,0.856434,--,0.86893,0.889597,0.833858
08/24/2020,0.888849,--,0.891453,0.891876,0.883344
08/21/2020,0.870536,--,0.887978,0.901565,0.863385
08/20/2020,0.896468,--,0.890383,0.900247,0.878741
08/19/2020,0.885293,--,0.895083,0.911944,0.867603
08/18/2020,0.914117,--,0.927128,0.940428,0.894853
08/17/2020,0.939429,--,0.909879,0.944941,0.89591
08/14/2020,0.893807,--,0.89111,0.901236,0.882389
08/13/2020,0.88849,--,0.862664,0.892481,0.84608
8/12/2020,0.868306,--,0.863312,0.873002,0.834133
8/11/2020,0.847957,--,0.875564,0.897838,0.833506
8/10/2020,0.889282,--,0.892372,0.898418,0.884441
8/07/2020,0.869553,--,0.883088,0.893521,0.847219
8/06/2020,0.88359,--,0.872944,0.883838,0.862641
8/05/2020,0.866773,--,0.861195,0.873846,0.844256
8/04/2020,0.851257,--,0.849515,0.852255,0.846595
8/03/2020,0.852359,--,0.846513,0.86482,0.834391
07/31/2020,0.841319,--,0.83022,0.847208,0.813038
07/30/2020,0.823479,--,0.807611,0.828703,0.800644
07/29/2020,0.829994,--,0.822171,0.835565,0.801546
07/28/2020,0.80869,--,0.805971,0.823287,0.802103
07/27/2020,0.822522,--,0.764306,0.836555,0.743355
07/24/2020,0.708983,--,0.705695,0.715946,0.701015
07/23/2020,0.712004,--,0.703259,0.717606,0.700365
07/22/2020,0.693022,--,0.687685,0.693192,0.683854
07/21/2020,0.690738,--,0.690447,0.694916,0.674548
07/20/2020,0.674729,--,0.675604,0.679003,0.67252
07/17/2020,0.673889,--,0.675105,0.675972,0.672018
07/16/2020,0.672489,--,0.666961,0.673848,0.666084
07/15/2020,0.679388,--,0.681485,0.683285,0.67524
07/14/2020,0.682887,--,0.679036,0.684409,0.67033
07/13/2020,0.679575,--,0.689572,0.690116,0.676033
7/10/2020,0.678541,--,0.674114,0.680222,0.669581
7/09/2020,0.67937,--,0.695021,0.695943,0.673344
7/08/2020,0.695538,--,0.682855,0.69629,0.676001
7/07/2020,0.675512,--,0.676215,0.682026,0.672358
7/06/2020,0.678193,--,0.675068,0.682255,0.657473
7/02/2020,0.65974,--,0.668589,0.670778,0.646958
7/01/2020,0.668373,--,0.661833,0.67292,0.65726
06/30/2020,0.660558,--,0.658679,0.664999,0.654566
06/29/2020,0.665053,--,0.657657,0.667692,0.651354
06/26/2020,0.666476,--,0.668507,0.673469,0.655632
06/25/2020,0.670389,--,0.665699,0.676988,0.652693
06/24/2020,0.673587,--,0.680803,0.70262,0.666796
06/23/2020,0.699937,--,0.698248,0.70303,0.694361
06/22/2020,0.69919,--,0.688308,0.708653,0.674101
06/19/2020,0.675598,--,0.678855,0.680821,0.670087
06/18/2020,0.678504,--,0.683385,0.687006,0.671642
06/17/2020,0.682593,--,0.688834,0.693604,0.670473
06/16/2020,0.687551,--,0.690675,0.694015,0.67915
06/15/2020,0.684042,--,0.657231,0.687625,0.643853
6/12/2020,0.687152,--,0.687464,0.694254,0.67445
6/11/2020,0.677886,--,0.709749,0.725673,0.66031
6/10/2020,0.720154,--,0.709146,0.727218,0.707525
6/09/2020,0.712577,--,0.708764,0.715859,0.701379
6/08/2020,0.708123,--,0.708626,0.713584,0.703618
6/05/2020,0.703372,--,0.705516,0.710528,0.701987
6/04/2020,0.711378,--,0.703817,0.718482,0.689869
6/03/2020,0.698611,--,0.698656,0.701839,0.693098
6/02/2020,0.694141,--,0.735934,0.739894,0.676844
6/01/2020,0.706726,--,0.695498,0.708176,0.686977
05/29/2020,0.677844,--,0.67757,0.682453,0.673494
05/28/2020,0.680091,--,0.674878,0.684053,0.655023
05/27/2020,0.655456,--,0.658644,0.663341,0.63658
05/26/2020,0.636459,--,0.636594,0.64959,0.627611
05/22/2020,0.66272,--,0.659944,0.667086,0.641479
05/21/2020,0.652719,--,0.66931,0.684706,0.630472
05/20/2020,0.684044,--,0.69767,0.702695,0.668081
05/19/2020,0.69235,--,0.687076,0.69493,0.685277
05/18/2020,0.694594,--,0.69014,0.695378,0.682483
05/15/2020,0.670952,--,0.679131,0.693189,0.65064
05/14/2020,0.693319,--,0.681521,0.699244,0.677863
05/13/2020,0.667469,--,0.651089,0.670516,0.632493
5/12/2020,0.630138,--,0.629915,0.642779,0.614742
5/11/2020,0.613196,--,0.633552,0.653457,0.588484
5/08/2020,0.715718,--,0.702585,0.716403,0.700776
5/07/2020,0.704468,--,0.674227,0.710688,0.660899
5/06/2020,0.670257,--,0.669135,0.67351,0.66116
5/05/2020,0.649394,--,0.645869,0.654392,0.642877
5/04/2020,0.653247,--,0.636998,0.654996,0.620659
5/01/2020,0.649952,--,0.652676,0.656087,0.638491
04/30/2020,0.638785,--,0.643852,0.695341,0.620514
04/29/2020,0.6453,--,0.618355,0.661278,0.58448
04/28/2020,0.584323,--,0.58549,0.585776,0.575043
04/27/2020,0.580659,--,0.577725,0.586367,0.570761
04/24/2020,0.565136,--,0.564171,0.571502,0.556679
04/23/2020,0.568068,--,0.542694,0.577528,0.530526
04/22/2020,0.536322,--,0.524221,0.541652,0.512947
04/21/2020,0.518081,--,0.513588,0.522144,0.508376
04/20/2020,0.517877,--,0.532625,0.545483,0.507041
04/17/2020,0.529175,--,0.530816,0.534957,0.524445
04/16/2020,0.530545,--,0.528286,0.535818,0.489042
04/15/2020,0.502349,--,0.501847,0.517642,0.500515
04/14/2020,0.514221,--,0.511104,0.520547,0.505124
04/13/2020,0.5102,--,0.502512,0.514261,0.502373
4/09/2020,0.549038,--,0.548202,0.552365,0.543437
4/08/2020,0.551368,--,0.543376,0.553176,0.538678
4/07/2020,0.532764,--,0.548194,0.557711,0.525666
4/06/2020,0.539099,--,0.526049,0.542984,0.498043
4/03/2020,0.492369,--,0.503856,0.513466,0.484036
4/02/2020,0.497066,--,0.486472,0.525863,0.479824
4/01/2020,0.473992,--,0.458982,0.476104,0.452006
03/31/2020,0.471795,--,0.470775,0.476508,0.463757
03/30/2020,0.477621,--,0.463145,0.47985,0.434569
03/27/2020,0.487656,--,0.484182,0.498539,0.479318
03/26/2020,0.485468,--,0.478201,0.490985,0.473758
03/25/2020,0.480002,--,0.476473,0.489844,0.471835
03/24/2020,0.488428,--,0.482868,0.491149,0.471592
03/23/2020,0.465709,--,0.460689,0.479543,0.421175
03/20/2020,0.453528,--,0.486219,0.510623,0.415128
03/19/2020,0.467354,--,0.428275,0.471438,0.389117
